time,GHI,AC_Power_W,Wind_Power_W,PU,Wind_PU
2020-08-14 00:30:00+08:00,0.0,0.0,790017.9571972261,0.0,0.007900179571972261
2020-08-14 01:30:00+08:00,0.0,0.0,944262.8740599037,0.0,0.009442628740599037
2020-08-14 02:30:00+08:00,0.0,0.0,790017.9571972261,0.0,0.007900179571972261
2020-08-14 03:30:00+08:00,0.0,0.0,40828.36100707632,0.0,0.0004082836100707632
2020-08-14 04:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-14 05:30:00+08:00,0.0,0.0,0.0,0.0,0.0
2020-08-14 06:30:00+08:00,0.0,0.0,349318.1947324329,0.0,0.003493181947324329
2020-08-14 07:30:00+08:00,39.95,2599029.4485953413,944262.8740599037,0.025990294485953414,0.009442628740599037
2020-08-14 08:30:00+08:00,105.4,7569666.0772463735,0.0,0.07569666077246373,0.0
2020-08-14 09:30:00+08:00,194.4,14314400.6714044,0.0,0.143144006714044,0.0
2020-08-14 10:30:00+08:00,207.05,15361959.461417317,0.0,0.15361959461417318,0.0
2020-08-14 11:30:00+08:00,265.45,20230489.3053306,0.0,0.202304893053306,0.0
2020-08-14 12:30:00+08:00,162.5,11914035.691534689,0.0,0.11914035691534688,0.0
2020-08-14 13:30:00+08:00,189.25,13997533.066717533,4715590.18187814,0.13997533066717532,0.047155901818781404
2020-08-14 14:30:00+08:00,429.15,32988025.91186253,10677565.890408752,0.3298802591186253,0.10677565890408752
2020-08-14 15:30:00+08:00,622.8,48635665.45678847,2732441.250786569,0.48635665456788474,0.02732441250786569
2020-08-14 16:30:00+08:00,410.2,31349727.645378154,38115743.102168076,0.31349727645378156,0.38115743102168076
2020-08-14 17:30:00+08:00,304.3,21072894.29273475,79344067.64631183,0.2107289429273475,0.7934406764631183
2020-08-14 18:30:00+08:00,169.2,9076335.48631513,99328529.21450853,0.09076335486315129,0.9932852921450853
2020-08-14 19:30:00+08:00,54.25,1343932.4383903116,99328529.21450853,0.013439324383903115,0.9932852921450853
2020-08-14 20:30:00+08:00,0.0,0.0,72204731.49438214,0.0,0.7220473149438215
2020-08-14 21:30:00+08:00,0.0,0.0,58053509.41990802,0.0,0.5805350941990801
2020-08-14 22:30:00+08:00,0.0,0.0,58053509.41990802,0.0,0.5805350941990801
